2026-08-20 21:20:52 | INFO     | Starting the ETL Pipeline                          | main.py:8
2026-08-20 21:20:52 | INFO     | Executing Bronze Layer                             | main.py:10
2026-08-20 21:20:52 | INFO     | Starting loading the data                          | main_bronze.py:24
2026-08-20 21:20:53 | INFO     | Loaded page 1 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:53 | INFO     | Loaded page 2 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:54 | INFO     | Loaded page 3 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:54 | INFO     | Loaded page 4 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:55 | INFO     | Loaded page 5 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:55 | INFO     | Loaded page 6 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:55 | INFO     | Loaded page 7 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:56 | INFO     | Loaded page 8 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:56 | INFO     | Loaded page 9 into the database successfully.      | main_bronze.py:37
2026-08-20 21:20:57 | INFO     | Loaded page 10 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:57 | INFO     | Loaded page 11 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:57 | INFO     | Loaded page 12 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:58 | INFO     | Loaded page 13 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:58 | INFO     | Loaded page 14 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:59 | INFO     | Loaded page 15 into the database successfully.     | main_bronze.py:37
2026-08-20 21:20:59 | INFO     | Loaded page 16 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:00 | INFO     | Loaded page 17 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:00 | INFO     | Loaded page 18 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:01 | INFO     | Loaded page 19 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:01 | INFO     | Loaded page 20 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:02 | INFO     | Loaded page 21 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:02 | INFO     | Loaded page 22 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:02 | INFO     | Loaded page 23 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:03 | INFO     | Loaded page 24 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:03 | INFO     | Loaded page 25 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:04 | INFO     | Loaded page 26 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:04 | INFO     | Loaded page 27 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:05 | INFO     | Loaded page 28 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:05 | INFO     | Loaded page 29 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:06 | INFO     | Loaded page 30 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:06 | INFO     | Loaded page 31 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:06 | INFO     | Loaded page 32 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:07 | INFO     | Loaded page 33 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:07 | INFO     | Loaded page 34 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:08 | INFO     | Loaded page 35 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:08 | INFO     | Loaded page 36 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:09 | INFO     | Loaded page 37 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:09 | INFO     | Loaded page 38 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:09 | INFO     | Loaded page 39 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:10 | INFO     | Loaded page 40 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:10 | INFO     | Loaded page 41 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:11 | INFO     | Loaded page 42 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:11 | INFO     | Loaded page 43 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:12 | INFO     | Loaded page 44 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:12 | INFO     | Loaded page 45 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:12 | INFO     | Loaded page 46 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:13 | INFO     | Loaded page 47 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:13 | INFO     | Loaded page 48 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:14 | INFO     | Loaded page 49 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:14 | INFO     | Loaded page 50 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:15 | INFO     | Loaded page 51 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:15 | INFO     | Loaded page 52 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:16 | INFO     | Loaded page 53 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:16 | INFO     | Loaded page 54 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:16 | INFO     | Loaded page 55 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:17 | INFO     | Loaded page 56 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:17 | INFO     | Loaded page 57 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:18 | INFO     | Loaded page 58 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:18 | INFO     | Loaded page 59 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:19 | INFO     | Loaded page 60 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:19 | INFO     | Loaded page 61 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:20 | INFO     | Loaded page 62 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:20 | INFO     | Loaded page 63 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:20 | INFO     | Loaded page 64 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:21 | INFO     | Loaded page 65 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:21 | INFO     | Loaded page 66 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:22 | INFO     | Loaded page 67 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:22 | INFO     | Loaded page 68 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:23 | INFO     | Loaded page 69 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:23 | INFO     | Loaded page 70 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:24 | INFO     | Loaded page 71 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:24 | INFO     | Loaded page 72 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:25 | INFO     | Loaded page 73 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:25 | INFO     | Loaded page 74 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:25 | INFO     | Loaded page 75 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:26 | INFO     | Loaded page 76 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:26 | INFO     | Loaded page 77 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:27 | INFO     | Loaded page 78 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:27 | INFO     | Loaded page 79 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:28 | INFO     | Loaded page 80 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:28 | INFO     | Loaded page 81 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:28 | INFO     | Loaded page 82 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:29 | INFO     | Loaded page 83 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:29 | INFO     | Loaded page 84 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:30 | INFO     | Loaded page 85 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:30 | INFO     | Loaded page 86 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:31 | INFO     | Loaded page 87 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:31 | INFO     | Loaded page 88 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:31 | INFO     | Loaded page 89 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:32 | INFO     | Loaded page 90 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:32 | INFO     | Loaded page 91 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:33 | INFO     | Loaded page 92 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:33 | INFO     | Loaded page 93 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:34 | INFO     | Loaded page 94 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:34 | INFO     | Loaded page 95 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:34 | INFO     | Loaded page 96 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:35 | INFO     | Loaded page 97 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:35 | INFO     | Loaded page 98 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:36 | INFO     | Loaded page 99 into the database successfully.     | main_bronze.py:37
2026-08-20 21:21:36 | INFO     | Loaded page 100 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:37 | INFO     | Loaded page 101 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:37 | INFO     | Loaded page 102 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:37 | INFO     | Loaded page 103 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:38 | INFO     | Loaded page 104 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:38 | INFO     | Loaded page 105 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:39 | INFO     | Loaded page 106 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:39 | INFO     | Loaded page 107 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:40 | INFO     | Loaded page 108 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:40 | INFO     | Loaded page 109 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:41 | INFO     | Loaded page 110 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:41 | INFO     | Loaded page 111 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:41 | INFO     | Loaded page 112 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:42 | INFO     | Loaded page 113 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:42 | INFO     | Loaded page 114 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:43 | INFO     | Loaded page 115 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:43 | INFO     | Loaded page 116 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:44 | INFO     | Loaded page 117 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:44 | INFO     | Loaded page 118 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:44 | INFO     | Loaded page 119 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:45 | INFO     | Loaded page 120 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:45 | INFO     | Loaded page 121 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:46 | INFO     | Loaded page 122 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:46 | INFO     | Loaded page 123 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:47 | INFO     | Loaded page 124 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:47 | INFO     | Loaded page 125 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:48 | INFO     | Loaded page 126 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:48 | INFO     | Loaded page 127 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:48 | INFO     | Loaded page 128 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:49 | INFO     | Loaded page 129 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:49 | INFO     | Loaded page 130 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:50 | INFO     | Loaded page 131 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:50 | INFO     | Loaded page 132 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:51 | INFO     | Loaded page 133 into the database successfully.    | main_bronze.py:37
2026-08-20 21:21:51 | INFO     | Loaded page 134 into the database successfully.    | main_bronze.py:37
